norm_cx,norm_cy,long_px,short_px,cad_ratio,area_px,true_height_mm
0.5836719512939453,0.5194792111714681,252.20001220703125,252.20001220703125,1.0,49706.0,51.0
0.3009914398193359,0.5302103678385417,252.7000274658203,245.48147583007807,1.0,48592.0,51.0
0.371875,0.1901041666666666,249.0,248.0,1.0,48531.0,51.0
0.708984375,0.1848958333333333,249.0,245.0,1.0,48269.5,51.0
0.7443746089935303,0.3138855298360188,249.589111328125,171.46937561035156,1.0,35009.5,51.0
0.7171875,0.3333333333333333,250.0,250.0,1.0,49048.0,51.0
0.7943475246429443,0.3011029243469238,248.841537475586,246.4161834716797,1.0,48114.0,51.0
0.3852463960647583,0.7219551086425782,248.50567626953125,248.2283477783203,1.0,48365.5,51.0
0.266796875,0.4958333333333333,249.6086883544922,248.1944580078125,1.0,48613.0,51.0
0.3919922113418579,0.4622395833333333,250.3157958984375,248.1944580078125,1.0,48859.5,51.0
0.5372473716735839,0.428860346476237,252.237045288086,251.50942993164065,1.0,49715.5,51.0
0.7006027698516846,0.4346896171569824,250.9321136474609,249.8634033203125,1.0,49340.0,51.0
0.8076118469238281,0.4131591161092122,247.6894989013672,245.986557006836,1.0,48089.5,51.0
0.787890625,0.3276041666666666,247.0,247.0,1.0,48147.5,51.0
0.6919531345367431,0.3162500381469726,250.1361541748047,250.1361389160156,1.0,49061.5,51.0
0.613671875,0.2609375,251.0,249.0,1.0,49085.0,51.0
0.5149085998535157,0.2083892186482747,250.17774963378903,247.52371215820312,1.0,48597.5,51.0
0.3996920824050903,0.1698161602020263,249.5784454345703,245.3483123779297,1.0,48270.0,51.0
0.3328072071075439,0.3320734659830729,250.1649169921875,247.2587280273437,1.0,48693.0,51.0
0.330078125,0.4947916666666667,251.0,248.0,1.0,48765.5,51.0
0.3221875190734863,0.5825000762939453,251.3340301513672,247.75631713867188,1.0,48666.0,51.0
0.3363581418991089,0.7762419382731119,248.78305053710932,247.95098876953125,1.0,48340.0,51.0
0.3166016101837158,0.8919271469116211,250.3157958984375,245.36605834960932,1.0,47900.5,51.0
0.5564453125,0.8481770833333333,247.4873504638672,243.95184326171875,1.0,48064.5,51.0
0.6654297828674316,0.7539063135782877,247.4873504638672,246.78024291992188,1.0,48194.5,51.0
0.7923943519592285,0.5886030832926432,246.90126037597656,246.17364501953125,1.0,47858.5,51.0
0.8875781059265136,0.6257292429606119,245.520248413086,243.7313995361328,1.0,47139.0,51.0
0.860546875,0.2447916666666666,246.0,245.0,1.0,47401.0,51.0
0.816796875,0.1927083333333333,246.0,243.0,1.0,47334.0,51.0
0.7608932495117188,0.1492727756500244,245.60064697265625,245.0512084960937,1.0,47503.0,51.0
0.6600661277770996,0.1842948595682779,250.04803466796875,245.7334899902344,1.0,48287.5,51.0
0.5482537746429443,0.281311289469401,251.751953125,249.3266143798828,1.0,49258.5,51.0
0.4770070075988769,0.5263829549153646,251.0579376220703,248.169189453125,1.0,49048.0,51.0
0.5731250762939453,0.5007291793823242,251.78125,251.33404541015625,1.0,49701.5,51.0
0.6213282585144043,0.421458371480306,251.78125,251.3340301513672,1.0,49649.0,51.0
0.6796875476837159,0.3661458969116211,250.6640167236328,249.87619018554688,1.0,49270.0,51.0
0.7353907108306885,0.375416628519694,249.7101287841797,248.3931579589844,1.0,48701.0,51.0
0.7953125,0.3697916666666667,248.0,246.0,1.0,47987.5,51.0
0.7401442050933837,0.4811698913574219,249.5384979248047,248.61541748046875,1.0,48670.5,51.0
0.6109375476837158,0.4927083015441894,251.73001098632807,251.73001098632807,1.0,49660.5,51.0
0.4744141101837158,0.6096354802449544,251.73001098632807,246.7802734375,1.0,48878.5,51.0
0.4243504524230957,0.7086217244466145,251.6594390869141,246.09141540527344,1.0,48471.5,51.0
0.4348652839660644,0.7719151178995768,249.62106323242188,245.88116455078125,1.0,48256.0,51.0
0.5280729770660401,0.634683354695638,249.99609375,247.5477600097656,1.0,48811.0,51.0
0.5699904441833497,0.6104769388834635,250.22674560546875,249.7579345703125,1.0,49060.5,51.0
0.615625,0.4796875,253.0,250.0,1.0,49690.5,51.0
0.6019532203674316,0.416145896911621,251.73001098632807,251.73001098632807,1.0,49729.5,51.0
0.5998047828674317,0.5341145833333333,251.73001098632807,251.0228881835937,1.0,49615.5,51.0
0.4972564220428467,0.7098406473795573,249.03619384765625,248.2769317626953,1.0,48432.5,51.0
0.6566407203674316,0.4854166666666666,251.0228881835937,251.0228881835937,1.0,49542.0,51.0
0.7532422542572021,0.2671353975931803,247.92254638671875,246.973876953125,1.0,48284.0,51.0
0.444007396697998,0.5914117177327474,252.1605529785156,246.39291381835932,1.0,48797.0,51.0
0.6008594512939454,0.5934375762939453,250.88682556152344,249.9923858642578,1.0,49279.0,51.0
0.66328125,0.478125,252.0,250.0,1.0,49519.5,51.0
0.8179402351379395,0.3402600288391113,248.2763061523437,245.71324157714844,1.0,47925.5,51.0
0.6853516578674317,0.2398437817891438,249.6086883544922,248.90158081054688,1.0,48678.5,51.0
0.5662109851837158,0.3460938135782878,251.73001098632807,251.0228881835937,1.0,49656.0,51.0
0.4918659210205078,0.4955136617024739,252.71405029296875,248.98883056640625,1.0,49250.0,51.0
0.4279146194458008,0.5191105842590332,252.1112365722656,247.67361450195312,1.0,48894.5,51.0
0.5471875667572021,0.3294791539510091,251.3340301513672,250.8868103027344,1.0,49547.0,51.0
0.730078125,0.2953125635782878,249.09796142578125,248.2035522460937,1.0,48689.5,51.0
0.588671875,0.4947916666666667,140.0,139.0,1.0,15242.5,14.5
0.5489063262939453,0.3940625508626302,139.97784423828125,139.5306396484375,1.0,15313.5,14.5
0.4570136070251465,0.3823176383972168,142.32192993164062,140.0657196044922,1.0,15490.5,14.5
0.5160156726837158,0.5406250635782878,139.30003356933594,139.30003356933594,1.0,15271.5,14.5
0.7183114051818847,0.4789831161499023,139.1534423828125,138.51968383789062,1.0,15221.5,14.5
0.665027666091919,0.4462929407755533,140.18557739257812,139.45797729492188,1.0,15312.5,14.5
0.5982422351837158,0.4013021151224772,140.00714111328125,139.30003356933594,1.0,15329.5,14.5
0.5507031440734863,0.3814583460489908,140.42506408691406,139.0834197998047,1.0,15317.0,14.5
0.491796875,0.353125,140.0,139.0,1.0,15455.5,14.5
0.438671875,0.3333333333333333,141.0,138.0,1.0,15561.5,14.5
0.410546875,0.33125,143.0,138.0,1.0,15649.0,14.5
0.507421875,0.4151041666666666,141.0,139.0,1.0,15309.5,14.5
0.5623437881469726,0.466770871480306,139.5306396484375,139.0834197998047,1.0,15260.0,14.5
0.600390625,0.4833333333333333,140.0,139.0,1.0,15271.5,14.5
0.6578125,0.4755208333333333,141.0,138.0,1.0,15288.0,14.5
0.677366828918457,0.5852942148844401,140.91319274902344,138.24530029296875,1.0,15335.5,14.5
0.6273312091827392,0.6193018595377604,139.79171752929688,139.18215942382812,1.0,15394.5,14.5
0.5710337162017822,0.6276254653930664,139.82269287109375,139.07286071777344,1.0,15407.5,14.5
0.4894531726837158,0.6369791666666667,143.55557250976562,138.18899536132812,1.0,15483.0,14.5
0.5397794246673584,0.6120526631673177,139.4862823486328,138.94395446777344,1.0,15411.5,14.5
0.5780648708343505,0.5860576629638672,139.229736328125,138.675048828125,1.0,15294.0,14.5
0.6742969512939453,0.4075000127156575,139.9778594970703,139.5306396484375,1.0,15315.5,14.5
0.6722640514373779,0.2845310846964518,140.15333557128906,138.9409637451172,1.0,15261.5,14.5
0.601953125,0.3041666666666666,139.0,138.0,1.0,15202.0,14.5
0.5562500476837158,0.3520833651224772,140.42506408691406,139.5306396484375,1.0,15316.5,14.5
0.5324908256530761,0.4107843081156412,140.18557739257812,139.7005157470703,1.0,15300.0,14.5
0.5204687595367432,0.4399999936421712,140.42506408691406,139.5306396484375,1.0,15281.5,14.5
0.5179687976837158,0.4703125953674316,139.30003356933594,139.30003356933594,1.0,15229.0,14.5
0.5029297351837159,0.5226563135782878,139.30003356933594,138.59291076660156,1.0,15218.5,14.5
0.580359411239624,0.5411666870117188,139.40000915527344,139.20001220703125,1.0,15250.0,14.5
0.606640625,0.4979166666666667,140.0,139.0,1.0,15245.0,14.5
0.6425782203674316,0.4234375317891439,141.42135620117188,138.59291076660156,1.0,15333.0,14.5
0.6047500133514404,0.3302708625793457,140.60000610351562,138.8000030517578,1.0,15403.5,14.5
0.5415588855743408,0.3065555254618327,142.04229736328125,139.18458557128906,1.0,15451.5,14.5
0.4812108993530273,0.3918229103088378,141.67001342773438,139.45643615722656,1.0,15429.5,14.5
